Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
2017-01-03,75,Up,Hymn for the Weekend - Seeb Remix,Coldplay,713104,https://i.scdn.co/image/ab67616d00004851e42f212796979596843a7376,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
2017-01-03,76,Down,Controlla,Drake,702649,https://i.scdn.co/image/ab67616d00004851726abca207567d5e41cb9667,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
2017-01-03,77,Down,The Ocean (feat. Shy Martin),Mike Perry,699588,https://i.scdn.co/image/ab67616d000048517f401862bfe87b552a75308d,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
2017-01-03,78,Up,X (feat. Future),21 Savage,688849,https://i.scdn.co/image/ab67616d000048512dd1ac4a61495080ef8f78ca,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
2017-01-03,79,Down,Shout Out to My Ex,Little Mix,687060,https://i.scdn.co/image/ab67616d000048512318bbb0586903290db2b270,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
2017-01-03,80,Up,Chill Bill,Rob $tone,685579,https://i.scdn.co/image/ab67616d000048516f3e9696889a2425338e0836,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
2017-01-03,81,Up,All Time Low,Jon Bellion,678673,https://i.scdn.co/image/ff06a4138a99d272c24d2f6da9b5ea6067c054db,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
2017-01-03,82,Down,Deu Onda,MC G15,667689,https://i.scdn.co/image/ab67616d000048518b4b30be47d016b7122dc88c,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
2017-01-03,83,Up,Needed Me,Rihanna,667390,https://i.scdn.co/image/ddc285ca9817c96c7719b3f2a759e108787db021,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
2017-01-03,84,Down,Into You,Ariana Grande,662335,https://i.scdn.co/image/ab67616d000048517227f5854239a059af211d5b,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
2017-01-03,85,Down,Traicionera,Sebastian Yatra,653860,https://i.scdn.co/image/ab67616d00004851dbe5e9f934a9be5db8884c52,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
2017-01-03,86,Down,Cake By The Ocean,DNCE,649265,https://i.scdn.co/image/ab67616d00004851a19a2912e1618ada66b2e6e8,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
2017-01-03,87,Up,Photograph,Ed Sheeran,646907,https://i.scdn.co/image/ab67616d00004851d08209944468440145f01524,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
2017-01-03,88,Flat,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,646225,https://i.scdn.co/image/ab67616d00004851751a2e5da4333e86814026ba,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
2017-01-03,89,Down,La Bicicleta,Carlos Vives,644289,https://i.scdn.co/image/ab67616d00004851d05d3aad30c5fb7614893cf5,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
2017-01-03,90,Down,7 Years,Lukas Graham,643253,https://i.scdn.co/image/ab67616d0000485104d59cefa11f0eee9f1877a5,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
2017-01-03,91,Up,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,638643,https://i.scdn.co/image/ab67616d000048516c3742dff9593add7c590e85,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
2017-01-03,92,Up,Versace on the Floor,Bruno Mars,633681,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
2017-01-03,93,Up,I Got You,Bebe Rexha,632312,https://i.scdn.co/image/ab67616d00004851809adcbcfe88c94fd2a706c1,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
2017-01-03,94,Up,Sneakin’,Drake,631385,https://i.scdn.co/image/8b1f6991ae1192e214374d14d918140d04dbd8a7,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
2017-01-03,95,Down,Capsize,FRENSHIP,627164,https://i.scdn.co/image/ab67616d00004851670048174db73ef55039c7bf,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
