,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
1519,4OEOEsOhlzDqQuewiuPJAc,Whiskey (feat. A$AP Rocky),Whiskey (feat. A$AP Rocky),single,1,210422,False,1,0,4,0.597,0.41,7,-8.293,0.07400000000000001,0.723,0.0,0.106,0.0736,103.666,84.0
1520,2ya9d4B06EQ8Fpj5SSqiTH,Drip on Me,SUPER SLIMEY,album,13,199840,True,8,0,4,0.8340000000000001,0.618,8,-7.653,0.231,0.0036200000000000004,2.6700000000000002e-05,0.126,0.5529999999999999,135.889,88.0
1521,3IJ6BBFLD2I2CH3hHFQj3O,4 da Gang,SUPER SLIMEY,album,13,187748,True,10,1,4,0.705,0.474,2,-7.534,0.355,0.0751,0.0,0.22899999999999998,0.179,146.244,79.0
1522,1OwNWr75pNTyhifOTT0uIG,Real Love,SUPER SLIMEY,album,13,242346,True,9,1,4,0.75,0.579,8,-6.256,0.0856,0.0201,6.4e-05,0.21899999999999997,0.262,145.94899999999998,96.0
1523,0jPLBur1qXRfj3pbuJSX03,Killed Before,SUPER SLIMEY,album,13,220706,True,11,1,4,0.6970000000000001,0.675,7,-4.688,0.317,0.275,0.0,0.0767,0.292,158.13299999999998,104.0
1524,6TdweeWiGv35hKXn3tARjA,You & Me,You & Me,single,1,190769,False,1,1,4,0.599,0.897,0,-2.7310000000000003,0.0435,0.228,0.0,0.5539999999999999,0.9309999999999999,156.016,111.0
1525,3UwT4FadEGWyMdaSwYcUBY,This Town,Flicker (Deluxe),album,13,232852,False,2,0,4,0.6779999999999999,0.39799999999999996,6,-8.413,0.0315,0.738,0.0,0.11699999999999999,0.20199999999999999,111.833,108.0
1526,7EI6Iki24tBHAMxtb4xQN2,Anywhere,Anywhere,single,1,215064,False,1,0,4,0.628,0.797,11,-3.9530000000000003,0.0596,0.0364,0.0,0.10400000000000001,0.321,106.93,119.0
1527,1KF7iLK6wK3hjjtqxjRiym,Mink Flow,SUPER SLIMEY,album,13,178786,True,12,0,4,0.6920000000000001,0.5329999999999999,6,-6.165,0.17600000000000002,0.00355,0.0,0.114,0.25,78.902,122.0
1528,3njGbs1LCqSfxadxnG7M9z,bright pink tims (feat. Cam'ron),bright pink tims (feat. Cam'ron),single,1,228506,True,1,0,4,0.755,0.6409999999999999,2,-7.087000000000001,0.0899,0.0401,0.0,0.677,0.298,115.015,123.0
1529,4kVo85bcmBkvMBcJl42XCA,On The Loose,Flicker (Deluxe),album,13,223814,False,1,0,4,0.721,0.613,11,-7.051,0.0332,0.00745,2.55e-06,0.125,0.665,124.012,145.0
1530,6NWl2m8asvH83xjuXVNsuG,Betrayed,Betrayed,single,1,187453,True,1,0,4,0.823,0.419,10,-10.357999999999999,0.165,0.41600000000000004,0.0,0.105,0.27699999999999997,119.958,21.0
1531,3kciYQvHGFkQYaZd0m1Pbc,Group Home,SUPER SLIMEY,album,13,242053,True,13,0,4,0.568,0.609,5,-7.6979999999999995,0.27899999999999997,0.0613,9.11e-06,0.0954,0.396,143.351,158.0
1532,4hgbz1Hzwpu0zQjcDiZfHa,Only 4 Me (feat. Ty Dolla $ign & Verse Simmonds),Only 4 Me (feat. Ty Dolla $ign & Verse Simmonds),single,1,307905,True,1,0,4,0.6829999999999999,0.684,11,-4.522,0.0643,0.0691,0.0,0.124,0.905,140.373,177.0
1533,3xNLFPiiJGmwkjQAS7tVqu,Drippy,Thinking Out Loud,album,10,204956,True,4,1,4,0.7390000000000001,0.546,2,-7.465,0.0658,0.0008460000000000001,9.03e-06,0.203,0.14,132.031,182.0
1534,5lsRkYiIerlfXMMrl4zkJG,Flicker,Flicker (Deluxe),album,13,258025,False,8,1,3,0.259,0.312,8,-9.82,0.0318,0.703,9.32e-06,0.302,0.23399999999999999,182.257,187.0
1535,65wnZsZLKJimfK1cTFOfa1,Seeing Blind,Flicker (Deluxe),album,13,185280,False,3,1,4,0.716,0.555,9,-7.57,0.0368,0.0395,0.0,0.105,0.485,93.97399999999999,139.0
1536,5gLJFqhjXwsxJdrugDIQDq,Miss My Woe (feat. Rico Love),Mr. Davis,album,17,258480,True,16,1,4,0.693,0.682,9,-6.131,0.331,0.0918,0.0,0.18600000000000003,0.193,159.95,176.0
1537,0taOCiup4HNG9LmbduVlJj,Rubbin Off The Paint,Rubbin Off The Paint,single,1,156057,True,1,1,5,0.721,0.711,7,-9.294,0.293,0.000662,0.0,0.34700000000000003,0.511,107.99799999999999,47.0
1538,6waqLPcT6ruMhmd36OhmFO,Losing Sleep,Losing Sleep,album,10,178253,False,1,1,4,0.584,0.621,1,-5.702999999999999,0.0443,0.0715,1.68e-06,0.389,0.634,92.00299999999999,158.0
1539,42CeaId2XNlxugDvyqHfDf,Candy Paint,Candy Paint,single,1,229573,True,1,1,4,0.765,0.688,4,-5.566,0.0841,0.633,0.0,0.0734,0.434,90.01299999999999,4.0
1540,5Gd19NupVe5X8bAqxf9Iaz,Gorgeous,Gorgeous,single,1,209680,False,1,1,4,0.7909999999999999,0.529,7,-6.87,0.175,0.0652,1.25e-05,0.218,0.428,91.98100000000001,16.0
1541,0tBbt8CrmxbjRP0pueQkyU,Wolves,Wolves,single,1,197993,False,1,0,4,0.7240000000000001,0.804,11,-4.614,0.0448,0.124,0.0,0.204,0.306,124.98700000000001,37.0
1542,7EmGUiUaOSGDnUUQUDrOXC,Wolves,Wolves,single,1,197993,False,1,0,4,0.715,0.802,11,-4.647,0.0394,0.139,0.0,0.177,0.327,124.98899999999999,3.0
